condition,symptoms,causes,warnings,recommendations
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., runny nose",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Migraine,"sensitivity to light, nausea, vomiting, pulsating pain, nausea",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Hypertension,"Patient reports chest discomfort, headache, and feeling of pressure in the head., nausea","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
COVID-19,"loss of taste, dry cough, fatigue, breathing difficulty, sweating",immune response,persistent high fever requires medical attention,monitor symptoms carefully
Diabetes,"frequent urination, blurred vision, slow healing wounds, fatigue, sweating","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Common Cold,"runny nose, mild cough, sore throat, mild fatigue, sneezing, body aches","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Pneumonia,"difficulty breathing, productive cough, fatigue, fever, sweating","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Diabetes,"frequent urination, blurred vision, slow healing wounds, fatigue, muscle weakness",viral infection,persistent high fever requires medical attention,take prescribed medication
Bronchitis,"mucus production, persistent cough, shortness of breath, fatigue, runny nose",inflammation of airways,persistent high fever requires medical attention,consult a healthcare professional
Migraine,"pulsating pain, nausea, sensitivity to light, vomiting, difficulty sleeping","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Depression,"Long periods of sadness with fatigue, insomnia, and lack of motivation., sweating","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
COVID-19,"dry cough, loss of smell, fever, breathing difficulty, loss of taste, mild headache","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Pneumonia,"difficulty breathing, productive cough, fever, fatigue",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
COVID-19,"loss of smell, dry cough, loss of taste, fatigue, loss of appetite",genetic and environmental factors,severe chest pain requires emergency care,take prescribed medication
Dengue,"High fever with severe headache, pain behind the eyes, muscle pain, and skin rash., dizziness","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Pneumonia,"difficulty breathing, productive cough, fever, muscle weakness",viral infection,seek medical help if breathing becomes difficult,monitor symptoms carefully
Diabetes,"fatigue, slow healing wounds, frequent urination, increased thirst, mild headache",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Influenza,"headache, fever, sore throat, muscle aches, fatigue, loss of appetite","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Malaria,"High fever with shaking chills followed by sweating and extreme fatigue., dizziness",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., dry throat","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., nausea",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., dizziness","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Diabetes,"fatigue, frequent urination, slow healing wounds, increased thirst, body aches","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Depression,"Feelings of hopelessness with low energy, difficulty concentrating, and appetite changes., muscle weakness",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Bronchitis,"chest discomfort, mucus production, persistent cough, dizziness","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Dengue,"High fever with severe headache, pain behind the eyes, muscle pain, and skin rash., runny nose","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Pneumonia,"fatigue, fever, productive cough, difficulty breathing, difficulty sleeping","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Allergic Rhinitis,"Runny nose with frequent sneezing, throat irritation, and watery eyes., fatigue","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Gastroenteritis,"Frequent loose stools with stomach pain, dehydration, and nausea., dry throat",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Pneumonia,"fever, productive cough, fatigue, difficulty breathing, loss of appetite","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Malaria,"Recurrent fever episodes with nausea, headache, and muscle pain., irritability","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Asthma,"chest tightness, coughing at night, shortness of breath, breathing difficulty, wheezing, blurred vision","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Common Cold,"mild cough, sneezing, nasal congestion, muscle weakness",bacterial infection,severe chest pain requires emergency care,take prescribed medication
Asthma,"breathing difficulty, coughing at night, wheezing, body aches",viral infection,symptoms worsening rapidly should be evaluated by a doctor,rest and stay hydrated
Malaria,"Recurrent fever episodes with nausea, headache, and muscle pain., loss of appetite","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Pneumonia,"difficulty breathing, fatigue, chest pain, fever, productive cough, chills",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Tuberculosis,"Chronic cough accompanied by night sweats, fever, and loss of appetite., muscle weakness","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Anemia,"Low energy levels with dizziness, shortness of breath, and fatigue., mild headache",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Migraine,"sensitivity to light, vomiting, severe headache, pulsating pain, muscle weakness",immune response,seek medical help if breathing becomes difficult,seek medical advice if symptoms persist
Asthma,"wheezing, breathing difficulty, shortness of breath, chest tightness, muscle weakness","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Arthritis,"Morning joint stiffness with swelling, pain, and reduced mobility., sweating",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., loss of appetite","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Influenza,"chills, muscle aches, dry cough, fever, headache, nausea",immune response,symptoms worsening rapidly should be evaluated by a doctor,take prescribed medication
Gastroenteritis,"Frequent loose stools with stomach pain, dehydration, and nausea., irritability","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Malaria,"Recurrent fever episodes with nausea, headache, and muscle pain., nausea","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., sweating",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Arthritis,"Chronic joint inflammation with pain, stiffness, and tenderness., fatigue","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Diabetes,"fatigue, frequent urination, slow healing wounds, increased thirst, nausea","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., irritability",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., fatigue","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., mild headache","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Anemia,"Low energy levels with dizziness, shortness of breath, and fatigue., nausea","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., difficulty sleeping","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., fatigue","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., runny nose","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Depression,"Long periods of sadness with fatigue, insomnia, and lack of motivation., muscle weakness","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Asthma,"shortness of breath, coughing at night, chest tightness, breathing difficulty, dizziness","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Malaria,"Patient experiences periodic fever, chills, sweating, headache, and body aches., nausea","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Bronchitis,"persistent cough, shortness of breath, mucus production, runny nose","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Anemia,"Patient experiences fatigue, pale skin, shortness of breath, and dizziness., muscle weakness","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
COVID-19,"fatigue, dry cough, fever, loss of smell, loss of taste, irritability","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Asthma,"chest tightness, coughing at night, wheezing, difficulty sleeping",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Allergic Rhinitis,"Patient experiences sneezing, runny nose, nasal congestion, and itchy eyes., chills","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
COVID-19,"fever, dry cough, loss of smell, nausea",bacterial infection,persistent high fever requires medical attention,consult a healthcare professional
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., fatigue","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., nausea",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Arthritis,"Morning joint stiffness with swelling, pain, and reduced mobility., nausea",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Anemia,"Patient experiences fatigue, pale skin, shortness of breath, and dizziness., dizziness","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Hypertension,"Persistent high blood pressure with headaches, fatigue, and occasional nosebleeds., blurred vision","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Asthma,"chest tightness, wheezing, shortness of breath, breathing difficulty, dizziness",inflammation of airways,seek medical help if breathing becomes difficult,seek medical advice if symptoms persist
Influenza,"headache, dry cough, fever, sore throat, difficulty sleeping",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Diabetes,"fatigue, slow healing wounds, frequent urination, increased thirst, runny nose",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Common Cold,"runny nose, sore throat, mild fatigue, nasal congestion, mild cough, nausea","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
COVID-19,"breathing difficulty, loss of taste, loss of smell, dry cough, fever, runny nose",bacterial infection,severe chest pain requires emergency care,consult a healthcare professional
Allergic Rhinitis,"Runny nose with frequent sneezing, throat irritation, and watery eyes., irritability","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Depression,"Patient reports persistent sadness, loss of interest in activities, fatigue, and sleep problems., sweating","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Influenza,"fever, muscle aches, chills, dry cough, sore throat, irritability",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Migraine,"sensitivity to light, vomiting, nausea, dry throat",viral infection,persistent high fever requires medical attention,seek medical advice if symptoms persist
Asthma,"breathing difficulty, wheezing, coughing at night, chest tightness, dry throat","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Diabetes,"frequent urination, increased thirst, blurred vision, irritability","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Bronchitis,"persistent cough, shortness of breath, chest discomfort, muscle weakness",inflammation of airways,persistent high fever requires medical attention,consult a healthcare professional
Bronchitis,"fatigue, mucus production, shortness of breath, chest discomfort, nausea","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Allergic Rhinitis,"Patient experiences sneezing, runny nose, nasal congestion, and itchy eyes., blurred vision","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Anemia,"Low energy levels with dizziness, shortness of breath, and fatigue., fatigue","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Asthma,"coughing at night, chest tightness, breathing difficulty, nausea","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Depression,"Patient reports persistent sadness, loss of interest in activities, fatigue, and sleep problems., mild headache","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Bronchitis,"persistent cough, shortness of breath, chest discomfort, fatigue","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Anemia,"Patient experiences fatigue, pale skin, shortness of breath, and dizziness., mild headache","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Influenza,"chills, dry cough, headache, fatigue",viral infection,symptoms worsening rapidly should be evaluated by a doctor,take prescribed medication
Pneumonia,"fatigue, productive cough, chest pain, dry throat","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Bronchitis,"mucus production, persistent cough, chest discomfort, shortness of breath, nausea",bacterial infection,seek medical help if breathing becomes difficult,monitor symptoms carefully
Dengue,"High fever with severe headache, pain behind the eyes, muscle pain, and skin rash., dizziness",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
COVID-19,"dry cough, breathing difficulty, loss of taste, fatigue, sweating",bacterial infection,persistent high fever requires medical attention,rest and stay hydrated
Malaria,"Patient experiences periodic fever, chills, sweating, headache, and body aches., muscle weakness","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Hypertension,"Persistent high blood pressure with headaches, fatigue, and occasional nosebleeds., runny nose","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Anemia,"Persistent tiredness with weakness, pale complexion, and rapid heartbeat., mild headache",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Pneumonia,"fever, fatigue, difficulty breathing, productive cough, dry throat",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., sweating",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Hypertension,"The patient experiences frequent headaches, dizziness, and blurred vision especially during stress., dry throat","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Anemia,"Low energy levels with dizziness, shortness of breath, and fatigue., dry throat","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Asthma,"chest tightness, coughing at night, wheezing, body aches",inflammation of airways,severe chest pain requires emergency care,take prescribed medication
Influenza,"fever, fatigue, dry cough, muscle aches, difficulty sleeping","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Hypertension,"Persistent high blood pressure with headaches, fatigue, and occasional nosebleeds., irritability","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., difficulty sleeping","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Depression,"Long periods of sadness with fatigue, insomnia, and lack of motivation., sweating","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Diabetes,"fatigue, frequent urination, blurred vision, slow healing wounds, mild headache",genetic and environmental factors,seek medical help if breathing becomes difficult,take prescribed medication
Arthritis,"Chronic joint inflammation with pain, stiffness, and tenderness., muscle weakness","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Malaria,"High fever with shaking chills followed by sweating and extreme fatigue., body aches","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Pneumonia,"fatigue, fever, difficulty breathing, loss of appetite",genetic and environmental factors,symptoms worsening rapidly should be evaluated by a doctor,monitor symptoms carefully
Diabetes,"fatigue, frequent urination, slow healing wounds, increased thirst, chills",inflammation of airways,persistent high fever requires medical attention,consult a healthcare professional
Allergic Rhinitis,"Patient experiences sneezing, runny nose, nasal congestion, and itchy eyes., irritability","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Anemia,"Persistent tiredness with weakness, pale complexion, and rapid heartbeat., difficulty sleeping","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
COVID-19,"loss of taste, breathing difficulty, fever, dry cough, fatigue, dizziness",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Dengue,"High fever with severe headache, pain behind the eyes, muscle pain, and skin rash., difficulty sleeping",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Gastroenteritis,"Frequent loose stools with stomach pain, dehydration, and nausea., muscle weakness","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Tuberculosis,"Long‑lasting cough with chest pain, fatigue, fever, and coughing up blood., nausea","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
COVID-19,"breathing difficulty, loss of smell, fatigue, dry cough, fever, dizziness",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Diabetes,"frequent urination, blurred vision, fatigue, increased thirst, slow healing wounds, muscle weakness","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Anemia,"Persistent tiredness with weakness, pale complexion, and rapid heartbeat., dizziness",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Asthma,"chest tightness, coughing at night, wheezing, breathing difficulty, shortness of breath, chills","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Asthma,"wheezing, coughing at night, shortness of breath, body aches",immune response,symptoms worsening rapidly should be evaluated by a doctor,monitor symptoms carefully
Bronchitis,"fatigue, persistent cough, chest discomfort, mucus production, shortness of breath, sweating","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Influenza,"dry cough, muscle aches, fatigue, chills, fever, runny nose",genetic and environmental factors,severe chest pain requires emergency care,consult a healthcare professional
Pneumonia,"chest pain, fatigue, difficulty breathing, productive cough, fever, dry throat",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Allergic Rhinitis,"Patient experiences sneezing, runny nose, nasal congestion, and itchy eyes., nausea","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
COVID-19,"dry cough, fatigue, fever, breathing difficulty, nausea","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Depression,"Feelings of hopelessness with low energy, difficulty concentrating, and appetite changes., fatigue",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Hypertension,"Patient reports chest discomfort, headache, and feeling of pressure in the head., dry throat","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
COVID-19,"loss of smell, dry cough, loss of taste, breathing difficulty, fever, dizziness","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Migraine,"vomiting, sensitivity to light, pulsating pain, difficulty sleeping",immune response,symptoms worsening rapidly should be evaluated by a doctor,rest and stay hydrated
Pneumonia,"fatigue, fever, difficulty breathing, loss of appetite",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Depression,"Patient reports persistent sadness, loss of interest in activities, fatigue, and sleep problems., dry throat","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Dengue,"Severe body aches with fever, nausea, headache, and mild bleeding symptoms., mild headache","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Bronchitis,"chest discomfort, mucus production, persistent cough, fatigue, shortness of breath, loss of appetite","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Allergic Rhinitis,"Patient experiences sneezing, runny nose, nasal congestion, and itchy eyes., difficulty sleeping","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Influenza,"chills, muscle aches, dry cough, fever, headache, mild headache","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Diabetes,"frequent urination, fatigue, slow healing wounds, blurred vision",inflammation of airways,seek medical help if breathing becomes difficult,monitor symptoms carefully
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., nausea",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., dizziness","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Influenza,"chills, muscle aches, dry cough, fever, headache, mild headache","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Diabetes,"fatigue, slow healing wounds, frequent urination, increased thirst, sweating","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Asthma,"chest tightness, coughing at night, wheezing, breathing difficulty, shortness of breath, runny nose","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Tuberculosis,"Patient has a persistent cough for weeks with weight loss, night sweats, and mild fever., nausea","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Common Cold,"nasal congestion, runny nose, mild fatigue, sore throat, mild cough, loss of appetite",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Tuberculosis,"Patient has a persistent cough for weeks with weight loss, night sweats, and mild fever., fatigue","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Malaria,"High fever with shaking chills followed by sweating and extreme fatigue., irritability","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
COVID-19,"loss of smell, loss of taste, fever, breathing difficulty, sweating","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Diabetes,"fatigue, blurred vision, slow healing wounds, frequent urination, increased thirst, dizziness",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Sinusitis,"Pressure around the eyes with headache, blocked nose, and fatigue., dizziness","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Influenza,"fever, sore throat, fatigue, headache, body aches",inflammation of airways,severe chest pain requires emergency care,seek medical advice if symptoms persist
Diabetes,"frequent urination, blurred vision, increased thirst, fatigue, slow healing wounds, sweating","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Asthma,"chest tightness, coughing at night, wheezing, breathing difficulty, shortness of breath, body aches","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
COVID-19,"breathing difficulty, dry cough, fatigue, blurred vision",genetic and environmental factors,symptoms worsening rapidly should be evaluated by a doctor,monitor symptoms carefully
Anemia,"Persistent tiredness with weakness, pale complexion, and rapid heartbeat., runny nose",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Asthma,"shortness of breath, coughing at night, chest tightness, breathing difficulty, runny nose",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
